problem,slim_version,n_iter,p_inflate,best_fit,num_correct
dice-game,SLIM+ABS,2000,0.7,0.0016133959870785475,64
dice-game,SLIM*SIG1,2000,0.1,0.00785499531775713,92
dice-game,SLIM*SIG1,2000,0.5,0.003041230607777834,83
dice-game,SLIM*SIG1,2000,0.7,0.0048363530077040195,89
dice-game,SLIM*SIG2,2000,0.1,0.009449739009141922,95
dice-game,SLIM*SIG2,2000,0.5,0.003224933287128806,87
dice-game,SLIM*SIG2,2000,0.7,0.004387288354337215,98
dice-game,SLIM*ABS,2000,0.1,0.002182559110224247,85
dice-game,SLIM*ABS,2000,0.5,0.0005739966873079538,79
dice-game,SLIM*ABS,2000,0.7,0.0026313255075365305,71
gcd,SLIM+SIG1,2000,0.1,1605.98779296875,0
gcd,SLIM+SIG1,2000,0.5,1605.983154296875,0
gcd,SLIM+SIG1,2000,0.7,1605.982421875,0
gcd,SLIM+SIG2,2000,0.1,1606.08251953125,0
gcd,SLIM+SIG2,2000,0.5,1605.9813232421875,0
gcd,SLIM+SIG2,2000,0.7,1606.012939453125,0
gcd,SLIM+ABS,2000,0.1,1606.03173828125,0
gcd,SLIM+ABS,2000,0.5,1606.0128173828125,0
gcd,SLIM+ABS,2000,0.7,1606.0126953125,0
gcd,SLIM*SIG1,2000,0.1,1602.3453369140625,0
gcd,SLIM*SIG1,2000,0.5,1598.779052734375,0
gcd,SLIM*SIG1,2000,0.7,1596.2939453125,0
gcd,SLIM*SIG2,2000,0.1,1601.945556640625,0
gcd,SLIM*SIG2,2000,0.5,1601.329833984375,0
gcd,SLIM*SIG2,2000,0.7,1601.6732177734375,0
gcd,SLIM*ABS,2000,0.1,1604.1402587890625,0
gcd,SLIM*ABS,2000,0.5,1603.0408935546875,0
gcd,SLIM*ABS,2000,0.7,1603.71826171875,0
snow-day,SLIM+SIG1,2000,0.1,17.201784133911133,0
snow-day,SLIM+SIG1,2000,0.5,16.105777740478516,0
snow-day,SLIM+SIG1,2000,0.7,16.356725692749023,0
snow-day,SLIM+SIG2,2000,0.1,18.153459548950195,0
snow-day,SLIM+SIG2,2000,0.5,17.31700325012207,0
snow-day,SLIM+SIG2,2000,0.7,17.46009635925293,0
snow-day,SLIM+ABS,2000,0.1,18.191814422607422,0
snow-day,SLIM+ABS,2000,0.5,17.095552444458008,0
snow-day,SLIM+ABS,2000,0.7,17.702425003051758,0
snow-day,SLIM*SIG1,2000,0.1,12.736297607421875,0
snow-day,SLIM*SIG1,2000,0.5,5.4849138259887695,0
snow-day,SLIM*SIG1,2000,0.7,7.5206403732299805,0
snow-day,SLIM*SIG2,2000,0.1,7.863093376159668,0
snow-day,SLIM*SIG2,2000,0.5,4.257358551025391,0
snow-day,SLIM*SIG2,2000,0.7,6.0492353439331055,0
snow-day,SLIM*ABS,2000,0.1,9.841629981994629,0
snow-day,SLIM*ABS,2000,0.5,5.101562023162842,0
snow-day,SLIM*ABS,2000,0.7,5.496013641357422,0
