problem,slim_version,n_iter,p_inflate,best_fit,num_correct
collatz_numbers,SLIM*SIG1,5,0.5,52.78855514526367,0
median,SLIM*SIG1,5,0.5,40.45231246948242,0
number_io,SLIM*SIG1,5,0.5,40.12641525268555,0
smallest,SLIM*SIG1,5,0.5,42.94059753417969,0
sum_of_squares,SLIM*SIG1,5,0.5,34902.6640625,0
wallis_pi,SLIM*SIG1,5,0.5,0.03147542476654053,3
bouncing-balls,SLIM*SIG1,5,0.5,205.20668029785156,0
dice-game,SLIM*SIG1,5,0.5,0.32703396677970886,0
gcd,SLIM*SIG1,5,0.5,1605.2144775390625,0
snow-day,SLIM*SIG1,5,0.5,16.16191291809082,0
