problem,slim_version,n_iter,p_inflate,best_fit,num_correct
sum_of_squares,SLIM+SIG2,2000,0.7,10000,0
sum_of_squares,SLIM*SIG2,2000,0.1,10000,0
sum_of_squares,SLIM*SIG2,2000,0.3,7973.68603515625,0
sum_of_squares,SLIM*SIG2,2000,0.5,10000,0
sum_of_squares,SLIM*SIG2,2000,0.7,10000,0
sum_of_squares,SLIM+SIG1,2000,0.1,10000,0
sum_of_squares,SLIM+SIG1,2000,0.3,10000,0
sum_of_squares,SLIM+SIG1,2000,0.5,10000,0
sum_of_squares,SLIM+SIG1,2000,0.7,10000,0
sum_of_squares,SLIM*SIG1,2000,0.1,10000,0
sum_of_squares,SLIM*SIG1,2000,0.3,10000,0
sum_of_squares,SLIM*SIG1,2000,0.5,8901.431640625,0
sum_of_squares,SLIM*SIG1,2000,0.7,10000,0
sum_of_squares,SLIM+ABS,2000,0.1,10000,0
sum_of_squares,SLIM+ABS,2000,0.3,10000,0
sum_of_squares,SLIM+ABS,2000,0.5,10000,0
sum_of_squares,SLIM+ABS,2000,0.7,10000,0
sum_of_squares,SLIM*ABS,2000,0.1,10000,0
sum_of_squares,SLIM*ABS,2000,0.3,10000,0
sum_of_squares,SLIM*ABS,2000,0.5,7878.90380859375,0
sum_of_squares,SLIM*ABS,2000,0.7,10000,0
wallis_pi,SLIM+SIG2,2000,0.1,0.008118225261569023,2
wallis_pi,SLIM+SIG2,2000,0.3,0.026419956237077713,0
wallis_pi,SLIM+SIG2,2000,0.5,0.00483451085165143,3
wallis_pi,SLIM+SIG2,2000,0.7,0.008183896541595459,60
wallis_pi,SLIM*SIG2,2000,0.1,0.011248832568526268,0
wallis_pi,SLIM*SIG2,2000,0.3,0.02868673950433731,0
wallis_pi,SLIM*SIG2,2000,0.5,0.004342673812061548,37
wallis_pi,SLIM*SIG2,2000,0.7,0.008934568613767624,2
wallis_pi,SLIM+SIG1,2000,0.1,0.030634595081210136,0
wallis_pi,SLIM+SIG1,2000,0.3,0.005483854096382856,7
wallis_pi,SLIM+SIG1,2000,0.5,0.010953284800052643,0
wallis_pi,SLIM+SIG1,2000,0.7,0.0064774127677083015,79
wallis_pi,SLIM*SIG1,2000,0.1,0.010619019158184528,0
wallis_pi,SLIM*SIG1,2000,0.3,0.018941640853881836,0
wallis_pi,SLIM*SIG1,2000,0.5,0.010709026828408241,0
wallis_pi,SLIM*SIG1,2000,0.7,0.016062138602137566,0
wallis_pi,SLIM+ABS,2000,0.1,0.024066412821412086,0
wallis_pi,SLIM+ABS,2000,0.3,0.03354362025856972,0
wallis_pi,SLIM+ABS,2000,0.5,0.04027362912893295,0
wallis_pi,SLIM+ABS,2000,0.7,0.01603461243212223,0
wallis_pi,SLIM*ABS,2000,0.1,0.023930173367261887,0
wallis_pi,SLIM*ABS,2000,0.3,0.03319450840353966,0
wallis_pi,SLIM*ABS,2000,0.5,0.024484461173415184,0
wallis_pi,SLIM*ABS,2000,0.7,0.006352196913212538,78
bouncing-balls,SLIM+SIG2,2000,0.1,208.11170959472656,0
bouncing-balls,SLIM+SIG2,2000,0.3,207.59695434570312,0
bouncing-balls,SLIM+SIG2,2000,0.5,207.7050323486328,0
bouncing-balls,SLIM+SIG2,2000,0.7,207.48426818847656,0
bouncing-balls,SLIM*SIG2,2000,0.1,96.852783203125,0
bouncing-balls,SLIM*SIG2,2000,0.3,70.6106948852539,0
bouncing-balls,SLIM*SIG2,2000,0.5,87.79940795898438,0
bouncing-balls,SLIM*SIG2,2000,0.7,73.92549133300781,0
bouncing-balls,SLIM+SIG1,2000,0.1,207.41366577148438,0
bouncing-balls,SLIM+SIG1,2000,0.3,207.3389434814453,0
bouncing-balls,SLIM+SIG1,2000,0.5,206.3899688720703,0
bouncing-balls,SLIM+SIG1,2000,0.7,207.34254455566406,0
bouncing-balls,SLIM*SIG1,2000,0.1,110.76229858398438,0
bouncing-balls,SLIM*SIG1,2000,0.3,83.88740539550781,0
bouncing-balls,SLIM*SIG1,2000,0.5,94.2917251586914,0
bouncing-balls,SLIM*SIG1,2000,0.7,128.73556518554688,0
bouncing-balls,SLIM+ABS,2000,0.1,208.3141326904297,0
bouncing-balls,SLIM+ABS,2000,0.3,208.2459259033203,0
bouncing-balls,SLIM+ABS,2000,0.5,208.16213989257812,0
bouncing-balls,SLIM+ABS,2000,0.7,207.8816375732422,0
bouncing-balls,SLIM*ABS,2000,0.1,97.27872467041016,0
bouncing-balls,SLIM*ABS,2000,0.3,69.7798843383789,0
bouncing-balls,SLIM*ABS,2000,0.5,45.80657196044922,0
bouncing-balls,SLIM*ABS,2000,0.7,71.8819808959961,0
dice-game,SLIM+SIG2,2000,0.1,0.0009475139668211341,6
dice-game,SLIM+SIG2,2000,0.3,0.0015723175602033734,14
dice-game,SLIM+SIG2,2000,0.5,0.0028357594273984432,24
dice-game,SLIM+SIG2,2000,0.7,0.004719897639006376,64
dice-game,SLIM*SIG2,2000,0.1,0.009449739009141922,1
dice-game,SLIM*SIG2,2000,0.3,0.0034336047247052193,23
dice-game,SLIM*SIG2,2000,0.5,0.003224933287128806,37
dice-game,SLIM*SIG2,2000,0.7,0.004387288354337215,86
dice-game,SLIM+SIG1,2000,0.1,0.0033663385547697544,1
dice-game,SLIM+SIG1,2000,0.3,0.002266364172101021,1
dice-game,SLIM+SIG1,2000,0.5,0.0009804164292290807,3
dice-game,SLIM+SIG1,2000,0.7,0.004401763901114464,70
dice-game,SLIM*SIG1,2000,0.1,0.00785499531775713,2
dice-game,SLIM*SIG1,2000,0.3,0.003975965082645416,35
dice-game,SLIM*SIG1,2000,0.5,0.003041230607777834,31
dice-game,SLIM*SIG1,2000,0.7,0.0048363530077040195,59
